Event Code,EventName,Code,InUse,Error Description,Display,Custom Error Description,Possible Causes,Recommended Action
00000,component_check_no_midc_info,00000,False,component_check_no_midc_info,False,,,
00001,component_check_no_mio_info,00001,False,component_check_no_mio_info,False,,,
00002,component_check_no_gw_info,00002,False,component_check_no_gw_info,False,,,
00003,component_check_no_inverter_info,00003,False,component_check_no_inverter_info,False,,,
00004,component_check_no_bms_info,00004,False,component_check_no_bms_info,False,,,
00005,component_check_too_many_inverters_info,00005,False,component_check_too_many_inverters_info,False,,,
00006,component_check_mio_xw_mismatch_info,00006,False,component_check_mio_xw_mismatch_info,False,,,
00007,component_check_too_few_batteries_info,00007,False,component_check_too_few_batteries_info,False,,,
00008,component_check_too_many_batteries_info,00008,False,component_check_too_many_batteries_info,False,,,
00015,mapping_inverter_no_batteries_info,00015,False,mapping_inverter_no_batteries_info,False,,,
00016,mapping_inverter_partial_batteries_info,00016,False,mapping_inverter_partial_batteries_info,False,,,
00017,mapping_batteries_no_inverter_info,00017,False,mapping_batteries_no_inverter_info,False,,,
00018,mapping_inverter_too_many_batteries_info,00018,False,mapping_inverter_too_many_batteries_info,False,,,
00019,mapping_battery_more_than_one_inverter_info,00019,False,mapping_battery_more_than_one_inverter_info,False,,,
00020,mapping_mio_no_inverter_info,00020,False,mapping_mio_no_inverter_info,False,,,
00021,mapping_inverter_no_mio_info,00021,False,mapping_inverter_no_mio_info,False,,,
00022,mapping_inverter_too_many_mio_info,00022,False,mapping_inverter_too_many_mio_info,False,,,
00023,mapping_mio_more_than_one_inverter_info,00023,False,mapping_mio_more_than_one_inverter_info,False,,,
00024,mapping_bms_no_inverter_info,00024,False,mapping_bms_no_inverter_info,False,,,
00025,mapping_inverter_no_bms_info,00025,False,mapping_inverter_no_bms_info,False,,,
00026,mapping_inverter_too_many_bms_info,00026,False,mapping_inverter_too_many_bms_info,False,,,
00027,mapping_bms_more_than_one_inverter_info,00027,False,mapping_bms_more_than_one_inverter_info,False,,,
00028,mapping_no_inverter_info,00028,False,mapping_no_inverter_info,False,,,
00029,mapping_no_gateway_info,00029,False,mapping_no_gateway_info,False,,,
00030,mapping_no_midc_info,00030,False,mapping_no_midc_info,False,,,
00031,mapping_too_many_gateways_info,00031,False,mapping_too_many_gateways_info,False,,,
00032,mapping_too_many_midc_info,00032,False,mapping_too_many_midc_info,False,,,
00400,health_check_missing_ess_component_map_info,00400,False,health_check_missing_ess_component_map_info,False,,,
00401,health_check_invalid_ess_component_map_info,00401,False,health_check_invalid_ess_component_map_info,False,,,
00402,health_check_missing_ess_info,00402,False,health_check_missing_ess_info,False,,,
